ASUS EEE PC 1000H 10"/Intel Atom N270 1,6GHz/1GB/80GB/XP Home (fehér) netbook	0 Ft															1,45 kg	24 hónap ASUS szervizben, ügyfélszolgálat: +36-1-505-4561						1,3 megapixel		2.0 + EDR	1 x VGA	3 x USB 2.0			Magyar nyelvű billentyűzet, dokumentáció															36 W																																																																																							
ASUS EEE PC 1000H 10"/Intel Atom N270 1,6GHz/1GB/80GB/XP Home (fekete)	0 Ft															1,45 kg	24 hónap ASUS szervizben, ügyfélszolgálat: +36-1-505-4561									1 x VGA	3 x USB 2.0			Magyar nyelvű billentyűzet, dokumentáció															36 W																																																																																							
ASUS EEE PC 1000HD 10,1"/Intel Celeron M ULV 353 900MHz/1GB/80GB/XP Home (fehér) netbook	0 Ft		10,1"-os	WSVGA (1024x600)	Intel Celeron M ULV 353 (900 MHz, 400 MHz, 512 kB)				1 x 1 GB DDR2-533		80 GB					1,45 kg	24 hónap ASUS szervizben, ügyfélszolgálat: +36-1-505-4561	6 cellás	XP Home				1,3 megapixel	b/g		1 x VGA	3 x USB 2.0		Van	Magyar nyelvű billentyűzet, dokumentáció	266 x 191,2 x 28,5-38 mm							Nincs	Nincs					10/100	36 W	Nincs	Nincs																																																																																					
ASUS EEE PC 1000HD 10,1"/Intel Celeron M ULV 353 900MHz/1GB/80GB/XP Home (fekete) netbook	0 Ft		10,1"-os	WSVGA (1024x600)	Intel Celeron M ULV 353 (900 MHz, 400 MHz, 512 kB)				1 x 1 GB DDR2-533		80 GB					1,45 kg	24 hónap ASUS szervizben, ügyfélszolgálat: +36-1-505-4561	6 cellás	XP Home				1,3 megapixel	b/g		1 x VGA	3 x USB 2.0		Van	Magyar nyelvű billentyűzet, dokumentáció	266 x 191,2 x 28,5-38 mm							Nincs	Nincs					10/100	36 W	Nincs	Nincs																																																																																					
ASUS EEE PC 1000HD 10"/Intel Celeron M ULV 353 900MHz/1GB/80GB/XP Home (fehér)	0 Ft																24 hónap ASUS szervizben, ügyfélszolgálat: +36-1-505-4561													Magyar nyelvű billentyűzet, dokumentáció													ASUS EEE PC 1000HD 10"/Intel Celeron M ULV 353 900MHz/1GB/80GB/XP Home (fehér)																																																																																									
ASUS EEE PC 1000HE 10"/Intel Atom N280 1,66GHz/1GB/160GB/XP Home (fehér) netbook	0 Ft		10"-os	WSVGA (1024x600)	Intel Atom N280 (1,66 GHz, 667 MHz, 512 kB)				1 x 1 GB DDR2-667		160 GB					1,45 kg	24 hónap ASUS szervizben, ügyfélszolgálat: +36-1-505-4561	6 cellás	XP Home				1,3 megapixel	b/g/n	2.0 + EDR	1 x VGA	3 x USB 2.0		Van	Magyar nyelvű billentyűzet, dokumentáció	266 x 191,2 x 28,5-38 mm			Védőtok										10/100	36 W																																																																																							
ASUS EEE PC 1000HE 10"/Intel Atom N280 1,66GHz/1GB/160GB/XP Home (fekete) netbook	0 Ft		10"-os	WSVGA (1024x600)	Intel Atom N280 (1,66 GHz, 667 MHz, 512 kB)				1 x 1 GB DDR2-667		160 GB					1,45 kg	24 hónap ASUS szervizben, ügyfélszolgálat: +36-1-505-4561	6 cellás	XP Home				1,3 megapixel	b/g/n	2.0 + EDR	1 x VGA	3 x USB 2.0		Van	Magyar nyelvű billentyűzet, dokumentáció	266 x 191,2 x 28,5-38 mm			Védőtok										10/100	36 W																																																																																							
ASUS Eee PC 1001PXD-BLK137S 10,1"/Intel Atom N455 1,66GHz/1GB/250GB/Win7/Fekete netbook	0 Ft																24 hónap ASUS szervizben, ügyfélszolgálat: +36-1-505-4561													Magyar nyelvű billentyűzet, dokumentáció													ASUS Eee PC 1001PXD-BLK137S 10,1"/Intel Atom N455 1,66GHz/1GB/250GB/Win7/Fekete netbook																																																																																									
ASUS Eee PC 1001PXD-BLU030S 10,1"/Intel Atom N455 1,66GHz/1GB/250GB/Win7/Kék netbook	0 Ft																24 hónap ASUS szervizben, ügyfélszolgálat: +36-1-505-4561													Magyar nyelvű billentyűzet, dokumentáció													ASUS Eee PC 1001PXD-BLU030S 10,1"/Intel Atom N455 1,66GHz/1GB/250GB/Win7/Kék netbook																																																																																									
ASUS Eee PC 1001PXD-WHI090S 10,1"/Intel Atom N455 1,66GHz/1GB/250GB/Win7/Fehér netbook	0 Ft																24 hónap ASUS szervizben, ügyfélszolgálat: +36-1-505-4561													Magyar nyelvű billentyűzet, dokumentáció													ASUS Eee PC 1001PXD-WHI090S 10,1"/Intel Atom N455 1,66GHz/1GB/250GB/Win7/Fehér netbook																																																																																									
ASUS Eee PC 1005HA-BLK007S 10,1"/Intel Atom N270 1,6GHz/1GB/160GB/Win7 netbook	0 Ft		10,1"-os	WSVGA LED (1024x600)	Intel Atom N270 (1,6 GHz, 533 MHz, 512 kB)				1 x 1 GB DDR2-667		160 GB, 5400 RPM, SATA					1,27 kg	24 hónap ASUS szervizben, ügyfélszolgálat: +36-1-505-4561	6 cellás lithium-ion	Windows 7 Starter				0,3 megapixel	b/g/n		1 x VGA	3 x USB 2.0		Van	Magyar nyelvű billentyűzet, dokumentáció	262 x 178 x 26,5-35,5 mm							Nincs	Nincs					10/100	40 W	Nincs	Nincs																																																																																					
ASUS Eee PC 1005HA-BLK076S 10,1"/Intel Atom N280 1,66GHz/1GB/250GB/Win7 netbook	0 Ft		10,1"-os	WSVGA LED (1024x600)	Intel Atom N280 (1,66 GHz, 667 MHz, 512 kB)				1 x 1 GB DDR2-667		250 GB, 5400 RPM, SATA					1,27 kg	24 hónap ASUS szervizben, ügyfélszolgálat: +36-1-505-4561	6 cellás lithium-ion	Windows 7 Starter				0,3 megapixel	b/g/n	2.1 + EDR	1 x VGA	3 x USB 2.0		Van	Magyar nyelvű billentyűzet, dokumentáció	262 x 178 x 26,5-35,5 mm			Védőtok				Nincs	Nincs					10/100	40 W	Nincs	Nincs																																																																																					
ASUS Eee PC 1005HA-BLK076X 10,1"/Intel Atom N270 1,6GHz/1GB/160GB/XP netbook	0 Ft		10,1"-os	WSVGA LED (1024x600)	Intel Atom N270 (1,6 GHz, 533 MHz, 512 kB)				1 x 1 GB DDR2-667		160 GB, 5400 RPM, SATA					1,27 kg	24 hónap ASUS szervizben, ügyfélszolgálat: +36-1-505-4561	6 cellás lithium-ion	XP Home				0,3 megapixel	b/g/n		1 x VGA	3 x USB 2.0		Van	Magyar nyelvű billentyűzet, dokumentáció	262 x 178 x 26,5-35,5 mm			Védőtok				Nincs	Nincs					10/100	40 W	Nincs	Nincs																																																																																					
ASUS Eee PC 1005HA-BLU042S 10,1"/Intel Atom N280 1,66GHz/1GB/250GB/Win7 netbook	0 Ft		10,1"-os	WSVGA LED (1024x600)	Intel Atom N280 (1,66 GHz, 667 MHz, 512 kB)				1 x 1 GB DDR2-667		250 GB, 5400 RPM, SATA					1,27 kg	24 hónap ASUS szervizben, ügyfélszolgálat: +36-1-505-4561	6 cellás lithium-ion	Windows 7 Starter				0,3 megapixel	b/g/n	2.1 + EDR	1 x VGA	3 x USB 2.0		Van	Magyar nyelvű billentyűzet, dokumentáció	262 x 178 x 26,5-35,5 mm			Védőtok				Nincs	Nincs					10/100	40 W	Nincs	Nincs																																																																																					
ASUS EEE PC 1005HA-H 10,1"/Intel Atom N280 1,66GHz/1GB/160GB/XP Home (fehér) netbook	0 Ft		10,1"-os	WSVGA LED (1024x600)	Intel Atom N280 (1,66 GHz, 667 MHz, 512 kB)				1 x 1 GB DDR2-667		160 GB, 5400 RPM, SATA					1,27 kg	24 hónap ASUS szervizben, ügyfélszolgálat: +36-1-505-4561	6 cellás lithium-ion	XP Home				1,3 megapixel	b/g/n	2.1 + EDR	1 x VGA	3 x USB 2.0		Van	Magyar nyelvű billentyűzet, dokumentáció	262 x 178 x 26,5-35,5 mm			Védőtok				Nincs	Nincs					10/100	40 W	Nincs	Nincs																																																																																					
ASUS EEE PC 1005HA-H 10,1"/Intel Atom N280 1,66GHz/1GB/160GB/XP Home (fekete) netbook + egér	0 Ft		10,1"-os	WSVGA LED (1024x600)	Intel Atom N280 (1,66 GHz, 667 MHz, 512 kB)				1 x 1 GB DDR2-667		160 GB, 5400 RPM, SATA					1,27 kg	24 hónap ASUS szervizben, ügyfélszolgálat: +36-1-505-4561	6 cellás lithium-ion	XP Home				1,3 megapixel	b/g/n		1 x VGA	3 x USB 2.0		Van	Magyar nyelvű billentyűzet, dokumentáció	262 x 178 x 26,5-35,5 mm			Védőtok és Microsoft Compact optikai egér (19050)				Nincs	Nincs					10/100	40 W	Nincs	Nincs																																																																																					
ASUS EEE PC 1005HA-H 10,1"/Intel Atom N280 1,66GHz/1GB/160GB/XP Home (kék) netbook	0 Ft		10,1"-os	WSVGA LED (1024x600)	Intel Atom N280 (1,66 GHz, 667 MHz, 512 kB)				1 x 1 GB DDR2-667		160 GB, 5400 RPM, SATA					1,27 kg	24 hónap ASUS szervizben, ügyfélszolgálat: +36-1-505-4561	6 cellás lithium-ion	XP Home				1,3 megapixel	b/g/n	2.1 + EDR	1 x VGA	3 x USB 2.0		Van	Magyar nyelvű billentyűzet, dokumentáció	262 x 178 x 26,5-35,5 mm			Védőtok				Nincs	Nincs					10/100	40 W	Nincs	Nincs																																																																																					
ASUS EEE PC 1005HA-H 10,1"/Intel Atom N280 1,66GHz/1GB/160GB/XP Home (rózsaszín) netbook	0 Ft		10,1"-os	WSVGA LED (1024x600)	Intel Atom N280 (1,66 GHz, 667 MHz, 512 kB)				1 x 1 GB DDR2-667		160 GB, 5400 RPM, SATA					1,27 kg	24 hónap ASUS szervizben, ügyfélszolgálat: +36-1-505-4561	6 cellás lithium-ion	XP Home				1,3 megapixel	b/g/n	2.1 + EDR	1 x VGA	3 x USB 2.0		Van	Magyar nyelvű billentyűzet, dokumentáció	262 x 178 x 26,5-35,5 mm			Védőtok				Nincs	Nincs					10/100	40 W	Nincs	Nincs																																																																																					
ASUS EEE PC 1005HA-M 10,1"/Intel Atom N270 1,6GHz/1GB/160GB/XP Home (fekete) netbook + egér	0 Ft		10,1"-os	WSVGA LED (1024x600)	Intel Atom N270 (1,6 GHz, 533 MHz, 512 kB)				1 x 1 GB DDR2-667		160 GB, 5400 RPM, SATA					1,27 kg	24 hónap ASUS szervizben, ügyfélszolgálat: +36-1-505-4561	6 cellás lithium-ion	XP Home				0,3 megapixel	b/g/n		1 x VGA	3 x USB 2.0		Van	Magyar nyelvű billentyűzet, dokumentáció	262 x 178 x 26,5-35,5 mm			Microsoft Compact optikai egér (19050)				Nincs	Nincs					10/100	40 W	Nincs	Nincs																																																																																					
ASUS Eee PC 1005HA-WHI058S 10,1"/Intel Atom N280 1,66GHz/1GB/250GB/Win7 netbook	0 Ft		10,1"-os	WSVGA LED (1024x600)	Intel Atom N280 (1,66 GHz, 667 MHz, 512 kB)				1 x 1 GB DDR2-667		250 GB, 5400 RPM, SATA					1,27 kg	24 hónap ASUS szervizben, ügyfélszolgálat: +36-1-505-4561	6 cellás lithium-ion	Windows 7 Starter				0,3 megapixel	b/g/n	2.1 + EDR	1 x VGA	3 x USB 2.0		Van	Magyar nyelvű billentyűzet, dokumentáció	262 x 178 x 26,5-35,5 mm			Védőtok				Nincs	Nincs					10/100	40 W	Nincs	Nincs																																																																																					
ASUS Eee PC 1005PR-BLK002S 10,1"/Intel Atom N450 1,66GHz/1GB/250GB/Win7 netbook	0 Ft		10,1"-os	WXGA HD (1366 x 768)	Intel Atom N450 (1,66 GHz, 512 KB)				1 x 1 GB DDR2-800		250 GB, 5400 RPM, SATA					1,27 kg	24 hónap ASUS szervizben, ügyfélszolgálat: +36-1-505-4561	6 cellás	Windows 7 Starter				0,3 megapixel	b/g/n	2.1 + EDR	1 x VGA	3 x USB 2.0		Van	Magyar nyelvű billentyűzet, dokumentáció	262 x 178 x 25,1-36,4 mm							Nincs	Nincs					10/100	40 W	Nincs	Nincs																																																																																					
ASUS Eee PC 1005PR-BLU002S 10,1"/Intel Atom N450 1,66GHz/1GB/250GB/Win7 netbook	0 Ft		10,1"-os	WXGA HD (1366 x 768)	Intel Atom N450 (1,66 GHz, 512 KB)				1 x 1 GB DDR2-800		250 GB, 5400 RPM, SATA					1,27 kg	24 hónap ASUS szervizben, ügyfélszolgálat: +36-1-505-4561	6 cellás	Windows 7 Starter				0,3 megapixel	b/g/n	2.1 + EDR	1 x VGA	3 x USB 2.0		Van	Magyar nyelvű billentyűzet, dokumentáció	262 x 178 x 25,1-36,4 mm							Nincs	Nincs					10/100	40 W	Nincs	Nincs																																																																																					
ASUS Eee PC 1005PR-PIK001S 10,1"/Intel Atom N450 1,66GHz/1GB/250GB/Win7 netbook	0 Ft		10,1"-os	WXGA HD (1366 x 768)	Intel Atom N450 (1,66 GHz, 512 KB)				1 x 1 GB DDR2-800		250 GB, 5400 RPM, SATA					1,27 kg	24 hónap ASUS szervizben, ügyfélszolgálat: +36-1-505-4561	6 cellás	Windows 7 Starter				0,3 megapixel	b/g/n	2.1 + EDR	1 x VGA	3 x USB 2.0		Van	Magyar nyelvű billentyűzet, dokumentáció	262 x 178 x 25,1-36,4 mm							Nincs	Nincs					10/100	40 W	Nincs	Nincs																																																																																					
ASUS Eee PC 1005PR-WHI001S 10,1"/Intel Atom N450 1,66GHz/1GB/250GB/Win7 netbook	0 Ft		10,1"-os	WXGA HD (1366 x 768)	Intel Atom N450 (1,66 GHz, 512 KB)				1 x 1 GB DDR2-800		250 GB, 5400 RPM, SATA					1,27 kg	24 hónap ASUS szervizben, ügyfélszolgálat: +36-1-505-4561	6 cellás	Windows 7 Starter				0,3 megapixel	b/g/n	2.1 + EDR	1 x VGA	3 x USB 2.0		Van	Magyar nyelvű billentyűzet, dokumentáció	262 x 178 x 25,1-36,4 mm							Nincs	Nincs					10/100	40 W	Nincs	Nincs																																																																																					
ASUS Eee PC 1008HA-BLU036X 10,1"/Intel Atom N280 1,66GHz/1GB/160GB/XP netbook	0 Ft		10,1"-os	WSVGA LED (1024x600)	Intel Atom N280 (1,66 GHz, 667 MHz, 512 kB)				1 x 1 GB DDR2-667		160 GB, 5400 RPM, SATA					1,1 kg	24 hónap ASUS szervizben, ügyfélszolgálat: +36-1-505-4561	3 cellás lithium polymer	XP Home				1,3 megapixel	b/g/n	2.1 + EDR	Intel GMA 900	2 x USB 2.0		Van	Magyar nyelvű billentyűzet, dokumentáció	262 x 178 x 25,7 mm			Védőtok				Nincs	Nincs					10/100	40 W	Nincs	Nincs	1 x Mini DisplayPort + VGA átalakító																																																																																				
ASUS Eee PC 1008P-BRN032S 10,1"/Intel Atom N450 1,66GHz/1GB/250GB/Win7 netbook	0 Ft		10,1"-os	WSVGA LED (1024x600)	Intel Atom N450 (1,66 GHz, 512 KB)				1 x 1 GB DDR2-667		250 GB, 5400 RPM, SATA					1,1 kg	24 hónap ASUS szervizben, ügyfélszolgálat: +36-1-505-4561	3 cellás	Windows 7 Starter				1,3 megapixel	b/g/n	2.1 + EDR	1 x VGA	2 x USB 2.0		Van	Magyar nyelvű billentyűzet, dokumentáció	262 x 178 x 25,7 mm			Plusz egy 3 cellás akkumulátor				Nincs	Nincs					10/100	40 W	Nincs	Nincs																																																																																					
ASUS Eee PC 1008P-PCH025S 10,1"/Intel Atom N450 1,66GHz/1GB/250GB/Win7 netbook	0 Ft		10,1"-os	WSVGA LED (1024x600)	Intel Atom N450 (1,66 GHz, 512 KB)				1 x 1 GB DDR2-667		250 GB, 5400 RPM, SATA					1,1 kg	24 hónap ASUS szervizben, ügyfélszolgálat: +36-1-505-4561	3 cellás	Windows 7 Starter				1,3 megapixel	b/g/n	2.1 + EDR	1 x VGA	2 x USB 2.0		Van	Magyar nyelvű billentyűzet, dokumentáció	262 x 178 x 25,7 mm			Plusz egy 3 cellás akkumulátor				Nincs	Nincs					10/100	40 W	Nincs	Nincs																																																																																					
